mix	name	HMDB.code	formula	POS	NEG	RT	mzneut	mz_ion	RT_obs	is_ok	peak_note	name
1	Betaine	HMDB0000043	C5H11NO2	[M+H]+	NA	157	117.0789786	118.0862551	158	TRUE	multiple peaks?	Betaine
1	Uric acid	HMDB0000289	C5H4N4O3	[M+H]+	[M-H]-	166	168.02834	169.0356165	166	TRUE	nice peak	Uric acid
1	Creatine	HMDB0000064	C4H9N3O2	[M+H]+	[M-H]-	167	131.0694766	132.076753	160	FALSE	unclear signal: multiple peaks? Large rt drifts.	Creatine
1	Acetylhistidine	HMDB0032055	C8H11N3O3	[M+H]+	[M-H]-	168	197.0800413	198.0873177	166	TRUE	multiple peaks? Double peaks? Isomers?	Acetylhistidine
1	L-Glutamic Acid	HMDB0000148	C5H9NO4	[M+H]+	[M-H]-	171	147.0531578	148.0604343	173	TRUE	nice peak	L-Glutamic Acid
1	Dimethylglycine	HMDB0000092	C4H9NO2	[M+H]+	[M-H]-	172	103.0633286	104.070605	160	FALSE	low signal; large rt drift	Dimethylglycine
1	Myo-Inositol	HMDB0000211	C6H12O6	[M+Na]+	[M-H+HCOOH]-	189	180.0633882	203.0526062	165	FALSE	shifted by -20s? multiple peaks	Myo-Inositol
2	C4 Carnitine	HMDB0000736	C11H21NO4	[M+H]+	NA	36	231.1470583	232.1543347	34	TRUE	OK	C4 Carnitine
2	Hypoxanthine	HMDB0000157	C5H4N4O	[M+H]+	[M-H]-	117	136.0385108	137.0457872	118	TRUE	broad (30s) noisy hilic peak	Hypoxanthine
2	Valine	HMDB0000883	C5H11NO2	[M+H]+	[M-H]-	145	117.0789786	118.0862551	155	TRUE	multiple peaks?	Valine
2	3-Nitrotyrosine	HMDB0001904	C9H10N2O5	[M+H]+	[M-H]-	149	226.0589715	227.066248	170	FALSE	rt shift +20s; low signal	3-Nitrotyrosine
2	Fructose	HMDB0000660	C6H12O6	[M+Na]+	[M-H]-	154	180.0633882	203.0526062	160	TRUE	multiple peaks	Fructose
2	Glycine	HMDB0000123	C2H5NO2	[M+H]+	[M-H+HCOONa]-	167	75.03202844	76.03930489	170	TRUE	nice peak	Glycine
2	Hydroxyproline	HMDB0000725	C5H9NO3	[M+H]+	[M-H]-	171	131.0582432	132.0655197	163	TRUE	multiple peaks?	Hydroxyproline
2	Histidine	HMDB0000177	C6H9N3O2	[M+H]+	[M-H]-	187	155.0694766	156.076753	193	TRUE	nice peak	Histidine
2	Phosphocreatine 	HMDB0001511	C4H10N3O5P	[M+H]+	[M-H]-	190	211.0358075	212.043084	186	TRUE	nice peak	Phosphocreatine 
2	cGMP	HMDB0001314	C10H12N5O7P	[M+H]+	[M-H]-	201	345.0474348	346.0547113	175	FALSE	rt is -20s	cGMP
3	Palmitoylcarnitine	HMDB0000222	C23H45NO4	[M+H]+	[M-H+HCOOH]-	33	399.3348591	400.3421356	32	TRUE	multiple peaks?	Palmitoylcarnitine
3	Niacinamide	HMDB0001406	C6H6N2O	[M+H]+	NA	42	122.0480128	123.0552893	38	TRUE	double peak?	Niacinamide
3	5-Oxoproline 	HMDB0000267	C5H7NO3	[M+H]+	[M-H]-	59	129.0425931	130.0498696	50	TRUE	broad (40s) noisy hilic peak	5-Oxoproline 
3	Isoleucine	HMDB0000172	C6H13NO2	[M+H]+	[M-H]-	139	131.0946287	132.1019052	145	TRUE	multiple peaks	Isoleucine
3	Alanine	HMDB0000161	C3H7NO2	[M+H]+	[M-H+HCOONa]-	158	89.04767851	90.05495496	162	TRUE	nice peak	Alanine
3	Glucose	HMDB0000122	C6H12O6	[M+Na]+	[M-H+HCOOH]-	164	180.0633882	203.0526062	165	TRUE	multiple peaks	Glucose
3	Citrulline	HMDB0000904	C6H13N3O3	[M+H]+	[M-H]-	179	175.0956914	176.1029678	182	TRUE	nice peak	Citrulline
3	Adenylosuccinic Acid	HMDB0000536	C14H18N5O11P	[M+H]+	[M-H]-	207	463.0740436	464.08132	198	TRUE	rd drifts between matrices	Adenylosuccinic Acid
3	Glutathione Oxidized 	HMDB0003337	C20H32N6O12S2	[M+H]+	[M-H]-	208	612.1519621	613.1592385	208	TRUE	nice peak	Glutathione Oxidized 
4	Phenylethylamine	HMDB0012275	C8H11N	[M+H]+	NA	36	121.0891494	122.0964258	35	TRUE	large background noise	Phenylethylamine
4	Leucine	HMDB0000687	C6H13NO2	[M+H]+	[M-H]-	137	131.0946287	132.1019052	145	TRUE	multiple peaks	Leucine
4	Putrescine	HMDB0001414	C4H12N2	[M+H-NH3]+	NA	166	88.10004842	72.08077577	158	TRUE	large rt drift	Putrescine
4	Glutamine	HMDB0000641	C5H10N2O3	[M+H]+	[M-H]-	176	146.0691422	147.0764187	179	TRUE	nice peak	Glutamine
4	SAMe	HMDB0001185	C15H23N6O5S	[M+H]+	NA	192	399.1450637	400.1523401	201	TRUE	nice peak; but eventually an adduct of AMP?	SAMe
4	AMP	HMDB0000045	C10H14N5O7P	[M+H]+	[2M-H]-	205	347.0630849	348.0703614	201	TRUE	nice peak	AMP
4	Sedoheptulose-7-phosphate	HMDB0001068	C7H15O10P	[M+Na]+	[2M-H]-	218	290.0402838	313.0295018	NA	FALSE	multiple peaks?	Sedoheptulose-7-phosphate
5	Corticosterone	HMDB0001547	C21H30O4	[M+H]+	NA	31	346.2144096	347.221686	28	TRUE	multiple peaks	Corticosterone
5	PABA	HMDB0001392	C7H7NO2	[M+H]+	NA	34	137.0476785	138.054955	NA	FALSE	large background noise	PABA
5	Mannose	HMDB0000169	C6H12O6	[M+Na]+	[M-H+HCOOH]-	157	180.0633882	203.0526062	165	TRUE	multiple peaks	Mannose
5	Threonine	HMDB0000167	C4H9NO3	[M+H]+	[M-H]-	170	119.0582432	120.0655197	172	TRUE	nice peak	Threonine
5	Glycerophospho-inositol	HMDB0011649	C9H19O11P	[M+H]+	[M-H]-	225	334.0664986	335.0737751	198	TRUE	rt -25s; multiple peaks?	Glycerophospho-inositol
5	NADP	HMDB0000217	C21H28N7O17P3	[M+H]+	[M-H]-	238	743.0754537	744.0827302	232	TRUE	nice peak	NADP
6	Paracetamol	HMDB0001859	C8H9NO2	[M+H]+	[M-H]-	34	151.0633286	152.070605	34	TRUE	nice peak; only few samples	Paracetamol
6	Choline	HMDB0000097	C5H13NO	[M+H]+	NA	41	103.0997141	104.1069905	45	TRUE	broad (40s) noisy hilic peak	Choline
6	Tryptophan	HMDB0000929	C11H12N2O2	[M+H]+	[M-H]-	150	204.0898777	205.0971541	148	TRUE	multiple peaks?	Tryptophan
6	Histamine	HMDB0000870	C5H9N3	[M+H]+	NA	166	111.0796473	112.0869238	182	TRUE	only in some matrices	Histamine
6	Methioninesulfoxide	HMDB0002005	C5H11NO3S	[M+H]+	[M-H]-	180	165.045964	166.0532404	181	TRUE	nice peak	Methioninesulfoxide
6	Asparagine	HMDB0000168	C4H8N2O3	[M+H]+	[M-H]-	182	132.0534922	133.0607686	183	TRUE	nice peak	Asparagine
6	Sucrose	HMDB0000258	C12H22O11	[M+Na]+	[M-H+HCOOH]-	184	342.1162117	365.1054297	184	TRUE	nice peak	Sucrose
