"name"	"rt_width"	"mz_width"	"mz_width_ppm"	"mz_ppm"	"multi_pk_count"	"all"	"venous"	"RBC"	"capillary"	"plasma"	"delta_rt"
"1-Methylhistidine"	5.39017933130772	0.000728157780731241	4.28095455092604	1.34402553841067	131	100	100	95.4545454545455	100	100	6
"1-Methyluric acid"	2.72024999999999	0.00391081663311255	21.3635446753604	49.2354102657029	0	4.16666666666667	4.54545454545455	4.54545454545455	6.81818181818182	0	2
"3-Methylhistidine"	5.39017933130772	0.000728157780731241	4.28095455092604	1.34402553841067	131	100	100	95.4545454545455	100	100	6
"3-Nitrotyrosine"	4.7780000000025	0.000711474005576918	3.13336083663455	9.293735785397	0	0	0	0	2.27272727272727	15.9090909090909	13
"5-Oxoproline"	17.8948778625971	0.00134463502178072	10.3393827100088	1.21432765472426	14	75	77.2727272727273	72.7272727272727	70.4545454545455	0	-16
"8-Oxo-2-Deoxyguanosine"	4.67337499999499	0.000910732268849301	3.20567992588158	2.25999818215102	0	0	0	0	18.1818181818182	0	1
"Acetylcarnitine"	6.66279914529821	0.00124492724684347	6.09890243014452	1.02528652519633	36	100	100	95.4545454545455	100	100	-4
"Acetyl-Glucosamine"	5.70329411764588	0.00155194322142152	6.35834767360856	1.70007351748314	6	0	9.09090909090909	54.5454545454545	0	0	-1
"Acetylhistidine"	4.79680769230731	0.000734601153923747	3.70829657403003	48.903360069031	8	4.16666666666667	18.1818181818182	38.6363636363636	22.7272727272727	18.1818181818182	-13
"Acetylneuraminic Acid"	4.38261386138644	0.00354924821212168	12.9486555586227	37.3787684807455	65	91.6666666666667	20.4545454545455	100	97.7272727272727	0	-8
"ADMA"	6.2539649999997	0.000722573181989361	3.55683928367094	1.18884664862589	0	100	100	100	100	100	4
"ADP-Glucose"	19.3783356643389	0.00117449141986044	2.74390392113978	0.886195953649492	0	95.8333333333333	100	86.3636363636364	86.3636363636364	0	-50
"Alanine"	4.712475	0.000458204669010769	5.08802883394724	5.40524196970585	0	100	100	100	100	100	-7
"alpha-Aminoadipic acid"	3.74589506172852	0.000968228915326634	5.97390965594553	1.81583297052186	0	100	81.8181818181818	59.0909090909091	97.7272727272727	75	-3
"alpha-Lactose"	4.9142266666668	0.00186869599145666	5.11819592320354	6.13408777692243	52	12.5	0	63.6363636363636	100	0	-4
"AMP"	7.80214457831277	0.000784424202633425	2.25363293942705	1.93634580435787	0	100	100	100	100	22.7272727272727	-9
"Arginine"	7.8191750000001	0.00045899926045962	2.62107181695744	1.12721965772853	0	100	100	100	100	100	5
"Argininosuccinic acid"	5.52871052631474	0.00168927806879089	5.80269147286358	35.0126656306355	16	0	0	0	2.27272727272727	47.7272727272727	-3
"Asparagine"	4.4473949999994	0.000550927561203594	4.1404201337943	1.3793920276013	0	100	100	100	100	100	-1
"Betaine"	7.11556918239019	0.000564084521258939	4.77688193914884	1.59964679495583	105	100	100	95.4545454545455	100	100	-9
"C4 Carnitine"	3.03824309392243	0.00424297062590775	18.2765245921772	1.45329929741852	0	91.6666666666667	95.4545454545455	90.9090909090909	93.1818181818182	81.8181818181818	-3
"C5 Carnitine"	2.59157718120765	0.00487608473448285	19.8078930852094	3.39061436999432	0	79.1666666666667	65.9090909090909	84.0909090909091	93.1818181818182	52.2727272727273	-13
"Caffeine"	3.1681550000001	0.0016782998678957	8.6027951267926	1.04321391246963	0	100	100	100	100	100	-3
"Carnosine"	4.19020000000036	0.000903839821948664	3.97967370597152	1.20821598849561	0	0	4.54545454545455	72.7272727272727	47.7272727272727	0	6
"Choline"	10.5774622222216	0.000455424011474419	4.37457103063767	2.01592968929104	32	100	97.7272727272727	95.4545454545455	97.7272727272727	93.1818181818182	3
"Citrulline"	4.8993949999992	0.000694440147315731	3.94337420898062	1.24768100777172	0	100	100	100	100	100	1
"Corticosterone"	4.46702083333312	0.00516987895001009	14.8895869802018	32.9171786525453	15	62.5	20.4545454545455	45.4545454545455	31.8181818181818	43.1818181818182	-7
"Creatine"	6.08676315789316	0.000729817285542672	5.52570444403664	1.51727065826338	0	20.8333333333333	31.8181818181818	4.54545454545455	0	38.6363636363636	0
"Creatinine"	8.18423703703644	0.000480119289187384	4.20913026335131	1.32926348026161	77	95.8333333333333	95.4545454545455	90.9090909090909	88.6363636363636	86.3636363636364	-5
"Cystine"	3.89974999999773	0.000504731385335204	2.09404731718382	1.52227893669493	0	0	0	0	0	100	-2
"Cytidine"	3.81333333332	0.000750086166846131	3.07294908222975	1.78015302873765	0	0	0	2.27272727272727	4.54545454545455	0	-7
"dGDP"	19.6562746478903	0.00121067904304945	2.82844721925045	0.862406755102561	0	100	81.8181818181818	86.3636363636364	100	0	-30
"dGMP"	7.80214457831277	0.000784424202633425	2.25363293942705	1.93634580435787	0	100	100	100	100	22.7272727272727	-21
"Diethyl malonate"	2.50806417112332	0.00228566866529867	14.1882492854255	93.4932087664058	0	79.1666666666667	88.6363636363636	97.7272727272727	97.7272727272727	97.7272727272727	-3
"Dimethylglycine"	3.10188235293882	0.00103494387652477	9.94462956936485	1.87841434294072	0	0	0	2.27272727272727	36.3636363636364	0	-15
"Epinephrine"	4.557	0.000485012908200133	2.63459016688046	13.964863781183	0	0	2.27272727272727	2.27272727272727	2.27272727272727	0	11
"Fructose"	6.76662939297105	0.00148236025843578	7.30036340159483	1.42955493109511	114	100	100	100	100	86.3636363636364	8
"Galactitol"	5.67928037383178	0.00103309849758619	5.03782559735501	1.16424016066656	2	66.6666666666667	36.3636363636364	88.6363636363636	63.6363636363636	13.6363636363636	-7
"Gamma-Aminobutyric acid"	3.10188235293882	0.00103494387652477	9.94462956936485	1.87841434294072	0	0	0	2.27272727272727	36.3636363636364	0	16
"Gluconic Acid"	7.60299999999625	0.000764932323390255	3.49208079881777	1.31084002583135	6	4.16666666666667	0	0	93.1818181818182	0	-11
