"id"	"hmdb_id"	"name"	"mass"	"adduct_pos"	"mz_ion_pos"	"rt_range_pos"	"adduct_neg"	"mz_ion_neg"	"rt_range_neg"	"rt_expected"
"kc_1"	"HMDB0000123"	"Glycine"	75.032028409	"[M+H]+"	76.039304864	"160-178"	"[M-H]-"	74.024751954	"160-178"	169.2
"kc_2"	"HMDB0000243"	"Pyruvic acid"	88.016043994	""	NA	"35-50"	"[M-H]-"	87.008767539	"33-52"	40.8
"kc_3"	"HMDB0000161"	"L-Alanine"	89.047678473	"[M+H]+"	90.054954928	"150-175"	"[M-H]-"	88.040402018	"150-175"	163.2
"kc_4"	"HMDB0000190"	"L-Lactic acid"	90.031694058	""	NA	"30-55"	"[M-H]-"	89.024417603	"28-57"	42.6
"kc_5"	"HMDB0000005"	"2-Ketobutyric acid"	102.031694058	""	NA	"30-45"	"[M-H]-"	101.024417603	"28-47"	37.2
"kc_6"	"HMDB0000112"	"gamma-Aminobutyric acid"	103.063328537	"[M+H]+"	104.070604992	"145-155"	"[M-H]-"	102.056052082	"165-180"	146.4
"kc_7"	"HMDB0000092"	"Dimethylglycine"	103.063328537	"[M+H]+"	104.070604992	"160-175"	"[M-H]-"	102.056052082	"160-180"	163.2
"kc_8"	"HMDB0000357"	"3-Hydroxybutyric acid"	104.047344122	"[M+Na]+"	127.036562122	"35-45"	"[M-H]-"	103.040067667	"31-45"	29.4
"kc_9"	"HMDB0000097"	"Choline"	104.107539075	"[M]+"	NA	"40-80"	""	NA	"-"	51
"kc_10"	"HMDB0000187"	"L-Serine"	105.042593095	"[M+H]+"	106.04986955	"175-187"	"[M-H]-"	104.03531664	"175-187"	181.2
"kc_11"	"HMDB0000139"	"Glyceric acid"	106.02660868	""	NA	"45-95"	"[M-H]-"	105.019332225	"45-95"	83.4
"kc_12"	"HMDB0000562"	"Creatinine"	113.058911861	"[M+H]+"	114.066188316	"90-145"	"[M-H]-"	112.051635406	"90-145"	123
"kc_13"	"HMDB0000162"	"L-Proline"	115.063328537	"[M+H]+"	116.070604992	"152-175"	"[M-H]-"	114.056052082	"152-175"	163.2
"kc_14"	"HMDB0000134"	"Fumaric acid"	116.010958616	""	NA	"45-55"	"[M-H]-"	115.003682161	"45-55"	39
"kc_15"	"HMDB0000019"	"alpha-Ketoisovaleric acid"	116.047344122	""	NA	"30-45"	"[M-H]-"	115.040067667	"30-45"	35.4
"kc_16"	"HMDB0000532"	"Acetylglycine"	117.042593095	"[M+H]+"	118.04986955	"45-60"	"[M-H]-"	116.03531664	"45-60"	48
"kc_17"	"HMDB0000128"	"Guanidoacetic acid"	117.053826483	"[M+H]+"	118.061102938	"159-168"	"[M-H]-"	116.046550028	"159-168"	156
"kc_18"	"HMDB0000043"	"Betaine"	117.078978601	"[M+H]+"	118.086255056	"147-170"	""	NA	"-"	164.4
"kc_19"	"HMDB0000883"	"L-Valine"	117.078978601	"[M+H]+"	118.086255056	"158-170"	"[M-H]-"	116.071702146	"158-172"	157.8
"kc_20"	"HMDB0000254"	"Succinic acid"	118.02660868	""	NA	"30-40"	"[M-H]-"	117.019332225	"30-44"	34.38
"kc_21"	"HMDB0000167"	"L-Threonine"	119.058243159	"[M+H]+"	120.065519614	"165-180"	"[M-H]-"	118.050966704	"164-180"	172.8
"kc_22"	"HMDB0012275"	"Phenylethylamine"	121.089149357	"[M+H]+"	122.096425812	"30-48"	""	NA	"-"	37.8
"kc_23"	"HMDB0001406"	"Niacinamide"	122.048012824	"[M+H]+"	123.055289279	"45-55"	""	NA	"-"	47.4
"kc_24"	"HMDB0000251"	"Taurine"	125.014663785	"[M+H]+"	126.02194024	"167-176"	"[M-H]-"	124.00738733	"167-180"	171
"kc_25"	"HMDB0000267"	"Pyroglutamic acid"	129.042593095	"[M+H]+"	130.04986955	"55-76"	"[M-H]-"	128.03531664	"55-80"	64.2
"kc_26"	"HMDB0000070"	"Pipecolic acid"	129.078978601	"[M+H]+"	130.086255056	"155-170"	"[M-H]-"	128.071702146	"155-170"	154.2
"kc_27"	"HMDB0000695"	"Ketoleucine"	130.062994186	"[M+H]+"	131.070270641	"31-41"	"[M-H]-"	129.055717731	"31-41"	30
"kc_28"	"HMDB0000725"	"4-Hydroxyproline"	131.058243159	"[M+H]+"	132.065519614	"172-180"	"[M-H]-"	130.050966704	"172-180"	173.4
"kc_29"	"HMDB0000766"	"N-Acetyl-L-alanine"	131.058243159	"[M+H]+"	132.065519614	"38-55"	"[M-H]-"	130.050966704	"38-55"	40.8
"kc_30"	"HMDB0000064"	"Creatine"	131.069476547	"[M+H]+"	132.076753002	"155-175"	"[M-H]-"	130.062200092	"155-180"	160.2
"kc_31"	"HMDB0000687"	"L-Leucine"	131.094628665	"[M+H]+"	132.10190512	"138-160"	"[M-H]-"	130.08735221	"138-160"	144.6
"kc_32"	"HMDB0000172"	"L-Isoleucine"	131.094628665	"[M+H]+"	132.10190512	"146-160"	"[M-H]-"	130.08735221	"138-160"	148.2
"kc_33"	"HMDB0000661"	"Glutaric acid"	132.042258744	""	NA	"35-45"	"[M-H]-"	131.034982289	"30-45"	39
"kc_34"	"HMDB0000168"	"L-Asparagine"	132.053492132	"[M+H]+"	133.060768587	"175-190"	"[M-H]-"	131.046215677	"175-190"	183.6
"kc_35"	"HMDB0000214"	"Ornithine"	132.089877638	"[M+H]+"	133.097154093	"185-208"	"[M-H]-"	131.082601183	"180-210"	197.4
"kc_36"	"HMDB0000191"	"L-Aspartic acid"	133.037507717	"[M+H]+"	134.044784172	"180-188"	"[M-H]-"	132.030231262	"175-190"	181.2
"kc_37"	"HMDB0000156"	"L-Malic acid"	134.021523302	""	NA	"80-120"	"[M-H]-"	133.014246847	"80-120"	108
"kc_38"	"HMDB0000157"	"Hypoxanthine"	136.03851077	"[M+H]+"	137.045787225	"115-133"	"[M-H]-"	135.031234315	"115-133"	124.2
"kc_39"	"HMDB0000306"	"Tyramine"	137.084063979	"[M+H]+"	138.091340434	"35-45"	""	NA	"-"	47.4
"kc_40"	"HMDB0001895"	"Salicylic acid"	138.031694053	"[M+H]+"	139.038970508	"28-37"	"[M-H]-"	137.024417598	"28-37"	28.8
